Wavelength (nm), QE (%)
5.870000000000000000e+02,9.050185632932922886e+01
5.880000000000000000e+02,9.052857114215123602e+01
5.890000000000000000e+02,9.055263638753923772e+01
5.900000000000000000e+02,9.057670163292725363e+01
5.910000000000000000e+02,9.060076687831525533e+01
5.920000000000000000e+02,9.062483212370325703e+01
5.930000000000000000e+02,9.064889736909127294e+01
5.940000000000000000e+02,9.068330177324934027e+01
5.950000000000000000e+02,9.072535949175967573e+01
5.960000000000000000e+02,9.076741721027001120e+01
5.970000000000000000e+02,9.080947492878034666e+01
5.980000000000000000e+02,9.085153264729068212e+01
5.990000000000000000e+02,9.089359036580101758e+01
6.000000000000000000e+02,9.092145070182171196e+01
6.010000000000000000e+02,9.093951944227582374e+01
6.020000000000000000e+02,9.095758818272993551e+01
6.030000000000000000e+02,9.097565692318404729e+01
6.040000000000000000e+02,9.099372566363815906e+01
6.050000000000000000e+02,9.101179440409227084e+01
6.060000000000000000e+02,9.103350924201652106e+01
6.070000000000000000e+02,9.105757448740452276e+01
6.080000000000000000e+02,9.108163973279252446e+01
6.090000000000000000e+02,9.110570497818054037e+01
6.100000000000000000e+02,9.112977022356854206e+01
6.110000000000000000e+02,9.115383546895654376e+01
6.120000000000000000e+02,9.118539116278293477e+01
6.130000000000000000e+02,9.122145089782294747e+01
6.140000000000000000e+02,9.125751063286297438e+01
6.150000000000000000e+02,9.129357036790298707e+01
6.160000000000000000e+02,9.132963010294301398e+01
6.170000000000000000e+02,9.136568983798302668e+01
6.180000000000000000e+02,9.139790256353657583e+01
6.190000000000000000e+02,9.142796480593941055e+01
6.200000000000000000e+02,9.145802704834224528e+01
6.210000000000000000e+02,9.148808929074508001e+01
6.220000000000000000e+02,9.151815153314791473e+01
6.230000000000000000e+02,9.154821377555074946e+01
6.240000000000000000e+02,9.157432918062553995e+01
6.250000000000000000e+02,9.159839442768479501e+01
6.260000000000000000e+02,9.162245967474406427e+01
6.270000000000000000e+02,9.164652492180331933e+01
6.280000000000000000e+02,9.167059016886257439e+01
6.290000000000000000e+02,9.169465541592182944e+01
6.300000000000000000e+02,9.171467548258857505e+01
6.310000000000000000e+02,9.173274422304268683e+01
6.320000000000000000e+02,9.175081296349678439e+01
6.330000000000000000e+02,9.176888170395089617e+01
6.340000000000000000e+02,9.178695044440500794e+01
6.350000000000000000e+02,9.180501918485910551e+01
6.360000000000000000e+02,9.181894589735411216e+01
6.370000000000000000e+02,9.183101862630282142e+01
6.380000000000000000e+02,9.184309135525151646e+01
6.390000000000000000e+02,9.185516408420022572e+01
6.400000000000000000e+02,9.186723681314892076e+01
6.410000000000000000e+02,9.187930954209763001e+01
6.420000000000000000e+02,9.188714488215026677e+01
6.430000000000000000e+02,9.189322209028281918e+01
6.440000000000000000e+02,9.189929929841537160e+01
6.450000000000000000e+02,9.190537650654792401e+01
6.460000000000000000e+02,9.191145371468046221e+01
6.470000000000000000e+02,9.191753092281301463e+01
6.480000000000000000e+02,9.191927687556989213e+01
6.490000000000000000e+02,9.191935905913317129e+01
6.500000000000000000e+02,9.191944124269646466e+01
6.510000000000000000e+02,9.191952342625975803e+01
6.520000000000000000e+02,9.191960560982303718e+01
6.530000000000000000e+02,9.191968779338633055e+01
6.540000000000000000e+02,9.191976997571651964e+01
6.550000000000000000e+02,9.191985215760882966e+01
6.560000000000000000e+02,9.191993433950115389e+01
6.570000000000000000e+02,9.192001652139346390e+01
6.580000000000000000e+02,9.192009870328577392e+01
6.590000000000000000e+02,9.192018088517808394e+01
6.600000000000000000e+02,9.191123069638625509e+01
6.610000000000000000e+02,9.189932430533518470e+01
6.620000000000000000e+02,9.188741791428410011e+01
6.630000000000000000e+02,9.187551152323302972e+01
6.640000000000000000e+02,9.186360513218195933e+01
6.650000000000000000e+02,9.185169874113087474e+01
6.660000000000000000e+02,9.184439812915340440e+01
6.670000000000000000e+02,9.183848577744780073e+01
6.680000000000000000e+02,9.183257342574221127e+01
6.690000000000000000e+02,9.182666107403660760e+01
6.700000000000000000e+02,9.182074872233101814e+01
6.710000000000000000e+02,9.181483637062541447e+01
6.720000000000000000e+02,9.178544270589721066e+01
6.730000000000000000e+02,9.174956507264077743e+01
6.740000000000000000e+02,9.171368743938434420e+01
